product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
4915.0,Jean-Baptiste Arena Patrimonio Blanc Morta Maio,25.9,14.0,362.59999999999997,388287.4999999999
4899.0,Domaine Brintet Mercurey Blanc Vieilles Vignes 2018,21.2,35.0,742.0,388287.4999999999
4725.0,François Baur Riesling Grand Cru Brand Clos De La Treille 2017,23.4,1.0,23.4,388287.4999999999
5815.0,Maison Trimbach Muscat Réserve 2017,16.6,11.0,182.60000000000002,388287.4999999999
5024.0,Champagne Agrapart &amp; Fils Les 7 Crus Brut Blanc de Blancs,45.0,0.0,0.0,388287.4999999999
5962.0,Camin Larredya Jurançon Moelleux Au Capcéu 2018,30.0,22.0,660.0,388287.4999999999
4210.0,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,79.8,0.0,0.0,388287.4999999999
4164.0,Parés Baltà Penedès Mas Petit 2015,7.6,19.0,144.4,388287.4999999999
6920.0,Château Jean Faure Saint-Emilion Grand Cru 2015,50.5,1.0,50.5,388287.4999999999
4790.0,Maurice Schoech Riesling 2018,11.1,43.0,477.3,388287.4999999999
5956.0,Clos du Prieur Terrasses du Larzac 2018,17.2,12.0,206.39999999999998,388287.4999999999
4204.0,Mas Laval IGP Pays d'Hérault Les Pampres Rouges 2017,11.3,31.0,350.3,388287.4999999999
6202.0,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,116.4,14.0,1629.6000000000001,388287.4999999999
4046.0,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,80.0,0.0,0.0,388287.4999999999
4750.0,Domaine de Montgilet Anjou Rouge Les Yvonnais 2015,16.4,45.0,737.9999999999999,388287.4999999999
4337.0,Champagne Mailly Grand Cru Les Echansons 2007,83.0,13.0,1079.0,388287.4999999999
6629.0,Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017,37.7,25.0,942.5000000000001,388287.4999999999
4239.0,Domaine Augustin Collioure Blanc Adéodat 2019,28.0,18.0,504.0,388287.4999999999
4272.0,Domaine Sérol Côte Roannaise Rosé Cabochard 2016,9.2,25.0,229.99999999999997,388287.4999999999
4286.0,Domaine Hauvette Les Baux de Provence Amethyste 2017,69.8,4.0,279.2,388287.4999999999
4201.0,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,38.0,69.0,2622.0,388287.4999999999
4241.0,Parcé Frères IGP Côtes Catalanes Hommage à Fernand Blanc 2019,8.9,7.0,62.300000000000004,388287.4999999999
5629.0,Parés Baltà Cava Brut Nature,10.3,51.0,525.3000000000001,388287.4999999999
4402.0,Cognac Frapin VIP XO,176.0,8.0,1408.0,388287.4999999999
4084.0,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",23.2,14.0,324.8,388287.4999999999
4683.0,Château Plaisance Fronton Rosé 2019,9.1,42.0,382.2,388287.4999999999
5696.0,Planeta Sicilia Etna Bianco 2018,17.5,35.0,612.5,388287.4999999999
5963.0,Domaine de l'Ancienne Cure Bergerac Blanc Sec L'Abbaye 2016,13.5,28.0,378.0,388287.4999999999
4928.0,Domaine La Croix Belle Côtes de Thongue Rouge Le Champ du Coq 2016,7.9,1.0,7.9,388287.4999999999
4620.0,Bernard Baudry Chinon Rouge Les Granges 2018,11.9,106.0,1261.4,388287.4999999999
